product_name,real_category,prediction,,real_category
"casque supra-auriculaire filaire beats ep - sans batterie pour une ecoute sans limite, micro et commandes integrees - noir - taille unique",high-tech,high-tech,,
"casque tv sans fil avec entree optique, cl7350 opti",high-tech,high-tech,,
casquebluetooth jbl t500 bt bleu,high-tech,high-tech,,
cat's love chat patee sans cereales poulet,animalerie,animalerie,,
ceanothe - 34432 - detroit - cadre photo - multi-vues - 10 x 15/9 x 13 cm - gris,cuisine et maison,cuisine et maison,,
cendrier - sodial(r)voiture personnalite cendrier avec lumiere led bleu (noir),auto et moto,auto et moto,,
cerises - cat. 1 - cal. +24 500g,animalerie,animalerie,,
"chaise de bureau de jeunesse hwc-g22 chaise pivotante, fauteuil directorial, similicuir ~ noir",cuisine et maison,cuisine et maison,,
chaise gamer racing sport avec coussins - hauteur reglable - inclinable pivotante noir / bleu,cuisine et maison,cuisine et maison,,
"chaises jardin, pese personne , grille -pain ....",hygiene et sante,animalerie,,
chamoagne - brut - alc. 12% vol. 75cl,epicerie,epicerie,,
champagne brut cuvee grande tradition nicolas feuillatte,epicerie,epicerie,,
chapeau de paille style western,vetements,vetements,,
chapeau fille 47cm,vetements,vetements,,
charme et douceur lucie gant/manique coton menthe 21 x 28 cm,cuisine et maison,cuisine et maison,,
chassagne montrachet aop vieilles,epicerie,epicerie,,
chateau coutet 2010 - 1er cru classe,epicerie,epicerie,,
chateau de romance bordeaux blanc 2015,epicerie,epicerie,,
chateau tertre saint martin 2014 bordeaux vin rouge,epicerie,epicerie,,
"chateauneuf-du-pape aop - 2015, rouge - 1 x 75 cl - 3391184190050",epicerie,bebe et puericulture,,
chaussettes en tissu style rustique,vetements,vetements,,
chaussettes fantaisie 1 mois-3 ans (lot de 5),vetements,vetements,,
chaussettes neoprene 36/37,vetements,vetements,,
chemise bleu denim,vetements,vetements,,
chemise crop effrangee,vetements,vetements,,
chemise en coton fantaisie a manches retroussables,vetements,vetements,,
chemise manches longues - 1 mois - 3 ans,vetements,vetements,,
chemise regular 100% coton vichy,vetements,vetements,,
chino en coton,vetements,vetements,,
classics polish micro-rayures 500ml gs27 cl140201,auto et moto,auto et moto,,
clavier gamer logitech g810 orion division + jeu tom clancy's the division,high-tech,high-tech,,
clavier mecanique cooler master,high-tech,high-tech,,
clos rene 2016 pomerol - vin rouge du bordelais,epicerie,epicerie,,
coffre de toit 350 l,auto et moto,epicerie,,
cogex 71716 cric rouleur,auto et moto,auto et moto,,
coiffeuse + commode.,cuisine et maison,jeux video,,
combi-short a motif,vetements,vetements,,
combinaison delavee imprimee,vetements,vetements,,
combinaison en maille jacquard,vetements,vetements,,
combinaison fluide motif liberty,vetements,vetements,,
combinaison longue en molleton chine avec print marguerites,vetements,vetements,,
combishort imprime fleuri turquoise clair,vetements,vetements,,
conduit d admission d air voiture/ filtre a air,auto et moto,auto et moto,,
console mobigo de vtech rose,cuisine et maison,cuisine et maison,,
console psp 3004 silver - base pack,jeux video,bebe et puericulture,,
corsair k70 rapidfire rgb clavier mecanique gaming,high-tech,high-tech,,
corse - 10 capsules plastique - intensite 8 - cafe 52g,epicerie,epicerie,,
"cosma nature 24 x 70 g + cosma snackies xxl, poulet offerts- saumon",animalerie,animalerie,,
"cosma nature 6 x 140 g pour chat - poulet, jambon de poulet.",animalerie,animalerie,,
cosma original en gelee 6 x 85 g pour chat - lot 4 saveurs - nouveau !,animalerie,high-tech,,
costantino kuba cuir veritable tabouret de bar - noir,cuisine et maison,cuisine et maison,,
cote droit passager feux phare avant double optique renault clio 2 phase 1,auto et moto,auto et moto,,
coteaux du layon chateau de fesles vin blanc 75cl,epicerie,epicerie,,
cotes du rhone - le vent - 2016 - rouge - 6x75cl - 3760026100005,epicerie,epicerie,,
couette antiacarienne en plumes d'oie - 672 g/m2 -blanc,cuisine et maison,cuisine et maison,,
couette legere naturelle - 30% duvet oie et canard - anti-acariens - 200 g/m2 - 200 x 200 cm,cuisine et maison,cuisine et maison,,
coussin en coton 40 x 40 cm graphic,cuisine et maison,cuisine et maison,,
"coussins pour palettes, siege, appui, mousse, matelassee pp (petit coussin 40x40, violet)",cuisine et maison,cuisine et maison,,
coyote mini neuf + 12 mois abonnement compris,high-tech,high-tech,,
cremant d'alsace blanc arthur metz,epicerie,epicerie,,
cric (2t) cric a pompe hydraulique,auto et moto,auto et moto,,
cristal metal bracelet formex bande poignet sangle pour fitbit versa smart watch,high-tech,high-tech,,
croquettes boeuf & cereales pour chats adultes,animalerie,animalerie,,
"croquettes bosch 10,5/12,5 kg + 2/2,5 kg offerts !",animalerie,animalerie,,
croquettes chien mini poulet,animalerie,animalerie,,
croquettes concept for life 400 g + 400 g offerts !- all cats,animalerie,animalerie,,
"croquettes feringa 400 g + 400 g offerts !- sterilised, volaille",animalerie,animalerie,,
"croquettes hill's science plan 8/10 kg + 12 x 85 g sachets offerts !- adult lapin (10 kg) + adult viande, poisson (12 x 85 g)",animalerie,animalerie,,
"croquettes orijen tundra pour chat sac 1,8 kg",animalerie,animalerie,,
croquettes pour chat poulet fromage whiskas,animalerie,animalerie,,
croquettes pour chat sterilise dinde purina,animalerie,vetements,,
croquettes pour chats adultes au saumon whiskas,animalerie,animalerie,,
croquettes pour chiens adultes de grande taille - poulet et riz 14kg - 500316,animalerie,animalerie,,
croquettes pro plan medium puppy sensitive skin optiderma sac 3 kg,animalerie,animalerie,,
croquettes purina one 2 x 800 g + cube de jeu offert !- indoor formula,animalerie,animalerie,,
croquettes royal canin 10 kg + tunnel a bruissement offert ! - outdoor 30,animalerie,auto et moto,,
crown buffet 104 cm blanc brillant,cuisine et maison,cuisine et maison,,
csl - etui de protection pour ecouteurs - etui de protection pour ecouteurs intra-auriculaires avec filet a l'interieur - etui en nylon indeformable - doublure textile souple - noir,high-tech,high-tech,,
"cubanisto mojito 5,9deg",epicerie,epicerie,,
cubes poulet au saumon chat,animalerie,animalerie,,
culotte cacatoes,vetements,auto et moto,,
culotte|violet et noir,vetements,vetements,,
"cvt pouilly fume aop blanc laurence clement""les petites roches"",75cl",epicerie,cuisine et maison,,
d-link mini cpl 500mbps wifi dhp-w310av x1,high-tech,high-tech,,
de buyer - 5110.24 - 'carbone plus' poele ronde coupe lyonnaise - queue feuillard rivetee - tole d'acier blanche,cuisine et maison,cuisine et maison,,
"deaman rideau occultant a galon fronceur - 2 rideaux occultants - bleu fonce - rideau thermique pour chambre a coucher - impermeable - coupe-vent, taupe, 135 x 245 cm",cuisine et maison,cuisine et maison,,
debardeur cordou ecru,vetements,vetements,,
debardeur de sport minni,vetements,vetements,,
degustation pur arabica,epicerie,epicerie,,
"deik aspirateur sans fil, aspirateur balai multifonction 2 en 1 (duree de la batterie au lithium 2200mah polyvalente 40 minutes, 2 vitesses reglable",cuisine et maison,cuisine et maison,,
delibest batonnet de b?uf entier pour chien- 1 batonnet,animalerie,animalerie,,
"delirium tremens, belgique - biere blonde - 6 x 33cl - 5412186000098",epicerie,epicerie,,
demarreur 4681d,auto et moto,jeux video,,
dentastix 10-25 kg sticks dental - unites : 28 barritas,animalerie,animalerie,,
"dentastix x28, pour petit chien 440g",animalerie,animalerie,,
dents - gants - homme noir m - noir - large,vetements,vetements,,
diamond tapis de salon 160x230 cm lilas - 1,cuisine et maison,cuisine et maison,,
dictador rhum dictador - 20 ans - 70cl - etui,epicerie,epicerie,,
didsbury tutti frutti gin liqueur,epicerie,jeux video,,
dominique laurent fixin vieilles vignes 2013 - vin rouge,epicerie,epicerie,,
donne armoire penderie.3tiroires,cuisine et maison,jeux video,,
dormipur matelas 140x190 cm - mousse - equilibre - 30 kg/m3 - 2 personnes - 1,cuisine et maison,cuisine et maison,,
dosette cafe castellari top quality x 20,epicerie,epicerie,,
dosettes cafe classic,epicerie,epicerie,,
dosettes creme brulee x16,epicerie,epicerie,,
douceur d'interieur 1622788 panneau a oeillets voile imprime transfert looping polyester blanc/noir 240 x 140 x 240 cm,cuisine et maison,cuisine et maison,,
douceur d'interieur parure 3 pieces 200 x 200 cm imprime danseuse etoile rose,cuisine et maison,cuisine et maison,,
doudoune deperlante effet matelasse,vetements,animalerie,,
doux matins - cafe - dosettes rigides - doux et parfume - x12 72g,epicerie,epicerie,,
drap de bain cisele les bleus de nimes,cuisine et maison,cuisine et maison,,
drap housse 160 x 200 cm - safran,cuisine et maison,cuisine et maison,,
drap housse casual blanc plusieurs tailles - 180x200 cm,cuisine et maison,cuisine et maison,,
drap-housse |lilas |plusieurs tailles - 60 x 120 cm,cuisine et maison,cuisine et maison,,
drap-housse imprime d'etoiles,cuisine et maison,cuisine et maison,,
drap-housse uni coton bonnet de 27 cm,cuisine et maison,cuisine et maison,,
drouault - couette chaude toucher duvet - extra gonflante - 220 x 240 cm,cuisine et maison,cuisine et maison,,
"echantillon - poulet, courge, myrtille",animalerie,animalerie,,
"echantillon canape, skander",cuisine et maison,cuisine et maison,,
echarpe - bleu - 180 x 35 cm - taille unique,vetements,vetements,,
echarpe - laine - carreaux - bleu - 180 x 30 cm - scia-55-blue#tu,vetements,auto et moto,,
ecouteur 3.5mm aux filaire licorne ecouteur dans l'oreille ecouteurs casque vert casque pour telephone intelligent vente chaude a3,high-tech,high-tech,,
"ecouteurs akg in-ear stereo earbuds avec jack 3,5mm pour samsung galaxy s8 / s8+ , noir",high-tech,high-tech,,
"ecouteurs avec telecommande + mic pour iphone 5/5s/6/6s, casque oreillettes intra-auriculaires pour apple ipad blue - 1",high-tech,high-tech,,
"ecouteurs bluetooth 5.0, casque bluetooth ecouteurs sans fil bluetooth, casque audio avec station de recharge convient a la plupart des smartphones pc",high-tech,high-tech,,
"ecouteurs bluetooth plantronics backbeat fit & brassard, verts --",high-tech,high-tech,,
"ecouteurs bluetooth, arespark bluetooth sports sans fil 5.0 hi-fi stereo profond, oreillettes basses ipx7 etanche 10 heures de lecture cvc 8.0 etanche au cou ecouteur magnetique dans l'oreille",high-tech,high-tech,,
ecouteurs intra-auriculaires stereo jabra rox- bluetooth(r) 4.0 - portee : 10 m - noir - 59708,high-tech,high-tech,,
ecouteurs sans fil prosound,high-tech,animalerie,,
"ecouteurs sans fil, casque sans fil, oreillette bluetooth, mini casque, casque de sport avec boite de recharge, casque d'affaires, mini ecouteurs intra-auriculaires, pour microphone iphone, kit de cha",high-tech,high-tech,,
ecouteurs stereo intra-auriculaire kit pieton iphone samsung lecteur mp3 mp4,high-tech,high-tech,,
"ecouteurs, edaona oreillettes intra-auriculaires filaires avec microphone pour iphone, ipod, ipad, samsung galaxy j5 s8 j3 j7 a5 s9,huawei mate10 p20, xiaomi red mi, v mobile, appareils avec jack 3,5m",high-tech,high-tech,,
"ecouteurs, oreillettes intra-auriculaires filaires avec microphone pour iphone, ipod, ipad, samsung galaxy j5 s8 j3 j7 a5 s9, huawei mate10 p20, xiaomi red mi, v mobile, appareils avec jack 3,5mm",high-tech,high-tech,,
"einstock white ale, islande - blonde - 6 x 33 cl - b002549",epicerie,epicerie,,
electrodes sanitas sem40 et beurer em40/41/80 ems tens 45x45 et 50x100mm,hygiene et sante,hygiene et sante,,
elicoidali |16 x 500 g - disponible,animalerie,animalerie,,
